airline_code;airline;airline_row;aircraft_id;aircraft_type;source_sheet;source_row
OS;Austrian;Austrian;AIB-A310-300;Airbus A310-300;AUA;4
OS;Austrian;Austrian;AIB-A319;Airbus A319-100;AUA;5
OS;Austrian;Austrian;AIB-A320-200;Airbus A320-200;AUA;6
OS;Austrian;Austrian;AIB-A321-100;Airbus A321-100;AUA;7
OS;Austrian;Austrian;AIB-A321-100;Airbus A321-100;AUA;8
OS;Austrian;Austrian;AIB-A321-200;Airbus A321-200;AUA;9
OS;Austrian;Austrian;AIB-A330-200;Airbus A330-200;AUA;10
OS;Austrian;Austrian;AIB-A340-200;Airbus A340-200;AUA;11
OS;Austrian;Austrian;AIB-A340-300;Airbus A340-300;AUA;12
OS;Austrian;Austrian;BAC-111-500;BAC 1-11 Series 500;AUA;13
OS;Austrian;Austrian;BOE-707-300;Boeing 707-329;AUA;14
OS;Austrian;Austrian;BOE-737-200;Boeing 737-200;AUA;15
OS;Austrian;Austrian;BOE-737-300;Boeing 737-300;AUA;16
OS;Austrian;Austrian;BOE-737-600;Boeing 737-600;AUA;17
OS;Austrian;Austrian;BOE-737-700;Boeing 737-700;AUA;18
OS;Austrian;Austrian;BOE-737-700-WL;Boeing 737-700 (Winglets);AUA;19
OS;Austrian;Austrian;BOE-737-800-WL;Boeing 737-800 (Winglets);AUA;20
OS;Austrian;Austrian;BOE-767-300;Boeing 767-300;AUA;21
OS;Austrian;Austrian;BOE-777-200;Boeing 777-200;AUA;22
OS;Austrian;Austrian;BOE-787-9;Boeing 787-9 Dreamliner;AUA;23
OS;Austrian;Austrian;DHC-DHC8-100;De Havilland Canada DHC-8-100;AUA;24
OS;Austrian;Austrian Arrows;DHC-DHC8-400;De Havilland Canada DHC-8-400;AUA;25
OS;Austrian;Austrian;DOU-DC3;Douglas DC-3;AUA;26
OS;Austrian;Austrian;DOU-DC8-63;Douglas DC-8-63;AUA;27
OS;Austrian;Austrian;MCD-DC9-30;Douglas DC-9-30;AUA;28
OS;Austrian;Austrian;MCD-DC9-50;Douglas DC-9-50;AUA;29
OS;Austrian;Austrian;EMB-E195;Embraer ERJ-190-200;AUA;30
OS;Austrian;Austrian;FOK-F50;Fokker 50;AUA;31
OS;Austrian;Tyrolean Airways;FOK-F70;Fokker 70;AUA;32
OS;Austrian;Austrian Arrows;FOK-F100;Fokker 100;AUA;33
OS;Austrian;Austrian;FOK-F100;Fokker 100;AUA;34
OS;Austrian;Austrian;HAW-HS748;Hawker-Siddeley HS-748;AUA;35
OS;Austrian;Austrian;MCD-MD81;McDonnell Douglas MD-81/82/83/88;AUA;36
OS;Austrian;Austrian;MCD-MD87;McDonnell Douglas MD-87;AUA;37
OS;Austrian;Austrian;SUD-Caravelle-VIR;Sud Aviation SE 210 Caravelle VI-R;AUA;38
OS;Austrian;Austrian;FAI-SA226;Swearingen SA-226TC Metro II;AUA;39
OS;Austrian;Austrian;VIC-Viscount-700;Vickers Viscount 745;AUA;40
OS;Austrian;Austrian;VIC-Viscount-700;Vickers Viscount 779;AUA;41
OS;Austrian;Austrian;VIC-Viscount-800;Vickers Viscount 837;AUA;42
LH;Lufthansa;Lufthansa;ATR72-500;ATR 72;Lufthansa;4
LH;Lufthansa;Lufthansa;AIB-A300-B2;Airbus A300B2;Lufthansa;5
LH;Lufthansa;Lufthansa;AIB-A300-B4;Airbus A300B4;Lufthansa;6
LH;Lufthansa;Lufthansa;AIB-A300-600;Airbus A300-600;Lufthansa;7
LH;Lufthansa;Lufthansa;AIB-A310-200;Airbus A310-200;Lufthansa;8
LH;Lufthansa;Lufthansa;AIB-A310-300;Airbus A310-300;Lufthansa;9
LH;Lufthansa;Lufthansa;AIB-A319;Airbus A319-100;Lufthansa;10
LH;Lufthansa;Lufthansa;AIB-A320-200;Airbus A320-200;Lufthansa;11
LH;Lufthansa;Lufthansa;AIB-A320-200-SL;Airbus A320-200 (Sharklets);Lufthansa;12
LH;Lufthansa;Lufthansa;AIB-A320-neo;Airbus A320neo;Lufthansa;13
LH;Lufthansa;Lufthansa;AIB-A321-100;Airbus A321-100;Lufthansa;14
LH;Lufthansa;Lufthansa;AIB-A321-200;Airbus A321-200;Lufthansa;15
LH;Lufthansa;Lufthansa;AIB-A321-neo;Airbus A321 neo;Lufthansa;16
LH;Lufthansa;Lufthansa;AIB-A321-neo;Airbus A321 neo;Lufthansa;17
LH;Lufthansa;Lufthansa;AIB-A330-200;Airbus A330-200;Lufthansa;18
LH;Lufthansa;Lufthansa;AIB-A330-300;Airbus A330-300;Lufthansa;19
LH;Lufthansa;Lufthansa;AIB-A340-200;Airbus A340-200;Lufthansa;20
LH;Lufthansa;Lufthansa;AIB-A340-300;Airbus A340-300;Lufthansa;21
LH;Lufthansa;Lufthansa;AIB-A340-600;Airbus A340-600;Lufthansa;22
LH;Lufthansa;Lufthansa;AIB-A350-900;Airbus A350-900;Lufthansa;23
LH;Lufthansa;Lufthansa;AIB-A350-1000;Airbus A350-1000;Lufthansa;24
LH;Lufthansa;Lufthansa;AIB-A380-800;Airbus A380-800;Lufthansa;25
LH;Lufthansa;Lufthansa;BOE-707-300;Boeing 707-330B;Lufthansa;26
LH;Lufthansa;Lufthansa;BOE-720;Boeing 720;Lufthansa;27
LH;Lufthansa;Lufthansa;BOE-727-100;Boeing 727-100;Lufthansa;28
LH;Lufthansa;Lufthansa;BOE-727-200;Boeing 727-200;Lufthansa;29
LH;Lufthansa;Lufthansa;BOE-737-100;Boeing 737-100;Lufthansa;30
LH;Lufthansa;Lufthansa;BOE-737-200;Boeing 737-200;Lufthansa;31
LH;Lufthansa;Lufthansa;BOE-737-300;Boeing 737-300;Lufthansa;32
LH;Lufthansa;Lufthansa;BOE-737-400;Boeing 737-400;Lufthansa;33
LH;Lufthansa;Lufthansa;BOE-737-500;Boeing 737-500;Lufthansa;34
LH;Lufthansa;Lufthansa;BOE-747-100;Boeing 747-100;Lufthansa;35
LH;Lufthansa;Lufthansa;BOE-747-200;Boeing 747-200;Lufthansa;36
LH;Lufthansa;Lufthansa;BOE-747-200F;Boeing 747-200F;Lufthansa;37
LH;Lufthansa;Lufthansa;BOE-747-400;Boeing 747-400;Lufthansa;38
LH;Lufthansa;Lufthansa;BOE-747-8;Boeing 747-8;Lufthansa;39
LH;Lufthansa;Lufthansa;BOE-767-300;Boeing 767-300;Lufthansa;40
LH;Lufthansa;Lufthansa;BOE-787-9;Boeing 787-9 Dreamliner;Lufthansa;41
LH;Lufthansa;Lufthansa;BOM-CRJ100;Bombardier CRJ-100;Lufthansa;42
LH;Lufthansa;Lufthansa;BOM-CRJ200;Bombardier CRJ-200;Lufthansa;43
LH;Lufthansa;Lufthansa;BOM-CRJ700;Bombardier CRJ-700;Lufthansa;44
LH;Lufthansa;Lufthansa CityLine;BOM-CRJ900;Bombardier CRJ-900;Lufthansa;45
LH;Lufthansa;Lufthansa;BAE-146-200;British Aerospace 146-200;Lufthansa;46
LH;Lufthansa;Lufthansa;CON-CV340;Convair CV-340-80;Lufthansa;47
LH;Lufthansa;Lufthansa CityLine;DHC-DHC8-100;De Havilland Canada DHC-8-100;Lufthansa;48
LH;Lufthansa;Lufthansa;DOR-DOX;Dornier Do X;Lufthansa;49
LH;Lufthansa;Lufthansa;DOU-DC8-50;Douglas DC-8-50;Lufthansa;50
LH;Lufthansa;Lufthansa Regional;EMB-E190;Embraer ERJ-190;Lufthansa;51
LH;Lufthansa;Lufthansa;EMB-E195;Embraer ERJ-195;Lufthansa;52
LH;Lufthansa;Lufthansa;FOW-FW200;Focke-Wulf Fw 200;Lufthansa;53
LH;Lufthansa;Lufthansa;FOK-F27;Fokker F27-400 Friendship;Lufthansa;54
LH;Lufthansa;Team Lufthansa;FOK-F50;Fokker 50;Lufthansa;55
LH;Lufthansa;Lufthansa;FOK-F100;Fokker 100;Lufthansa;56
LH;Lufthansa;Lufthansa;JUN-JU52-3M;Junkers Ju 52/3m;Lufthansa;57
LH;Lufthansa;Lufthansa;LOC-L1049;Lockheed L-1049G Super Constellation;Lufthansa;58
LH;Lufthansa;Lufthansa;LOC-L1649;Lockheed L-1649A Starliner;Lufthansa;59
LH;Lufthansa;Lufthansa;MCD-DC10-30;McDonnell Douglas DC-10-30;Lufthansa;60
LH;Lufthansa;Lufthansa Cargo;MCD-MD11F;McDonnell Douglas MD-11F;Lufthansa;61
LH;Lufthansa;Lufthansa;VIC-Viscount-800;Vickers Viscount 814;Lufthansa;62
LX;Swiss;Swiss;AIB-A220-100;Airbus A220-100;Swiss;4
LX;Swiss;Swiss;AIB-A220-300;Airbus A220-300;Swiss;5
LX;Swiss;Swiss;AIB-A310-200;Airbus A310-200;Swiss;6
LX;Swiss;Swiss;AIB-A319;Airbus A319-100;Swiss;7
LX;Swiss;Swiss;AIB-A320-200;Airbus A320-200;Swiss;8
