model_id;airline_code;airline;aircraft_id;aircraft_type;registration;livery;parent_livery;Zusatzinfo;special_note;Shop;Preis;Versandkosten;Eigenfluege;Postkarte;Preis_Postkarte;Foto;angekommen;source_sheet;source_row
OS001;OS;Austrian;AIB-A319;Airbus A319-100;OE-LDE;AUA-2015-MYAUA;;"""Baku""";;aviationmegastore.com;;;x;https://jjpostcards.com/de/ansichtskarten/39091-Austrian-A319.html;1,35;https://www.jetphotos.com/photo/10159741;;AUA;5
OS010;OS;Austrian;AIB-A320-200;Airbus A320-200;OE-LBP;AUA-1997-QUALIFLYER;AUA-1995-ARROWSTRIPE;"""Qualiflyer""";;Ebay stoeberdaniel;36,44;;x;https://jjpostcards.com/de/ansichtskarten/14917-austrian-a320.html;0,85;https://berlin-spotter.de/focus/aua320qualiflyer.jpg;;AUA;6
OS002;OS;Austrian;AIB-A321-100;Airbus A321-100;OE-LBB;AUA-1999-STRAUSS;AUA-1995-ARROWSTRIPE;"""Pinzgau"" ""Johann Strauss""";;MW-MOBA;24,5;3;x;"Eigenflug; https://jjpostcards.com/de/ansichtskarten/35822-Austrian-A321.html";0,85;https://www.planespotters.net/photo/255885/oe-lbb-austrian-airlines-airbus-a321-111;;AUA;7
OS016;OS;Austrian;AIB-A321-100;Airbus A321-100;OE-LBB;AUA-1996-1000YEARS;AUA-1995-ARROWSTRIPE;"""Pinzgau"" ""1000 Jahre Österreich""";;MW-MOBA;17,5;1,87;x;https://jjpostcards.com/de/ansichtskarten/24460-austrian-a321.html;1,05;https://www.planespotters.net/photo/355580/oe-lbb-austrian-airlines-airbus-a321-111;22.05.2025;AUA;8
OS007;OS;Austrian;AIB-A330-200;Airbus A330-200;OE-LAN;AUA-2003-BLUEBELLY;;"""Arlberg""";;Ebay kunstspezi;59;;;https://jjpostcards.com/de/ansichtskarten/19862-austrian-a330.html;0,85;https://www.planespotters.net/photo/011983/oe-lan-austrian-airlines-airbus-a330-223;;AUA;10
OS005;OS;Austrian;AIB-A340-200;Airbus A340-200;OE-LAG;AUA-1995-ARROWSTRIPE;;"""Europe""";;Ebay 0961.boeing.747-400;39,85;;;https://jjpostcards.com/de/ansichtskarten/2243-austrian-a340.html;0,85;https://www.planespotters.net/photo/015371/oe-lag-austrian-airlines-airbus-a340-211;;AUA;11
OS015;OS;Austrian;AIB-A340-300;Airbus A340-300;OE-LAL;AUA-2006-PHILHARMONIKER;AUA-2003-BLUEBELLY;"""Wiener Philharmoniker""";;Ebay Leon;47;;;https://jjpostcards.com/de/ansichtskarten/11095-austrian-a340.html;1,35;https://www.planespotters.net/photo/036860/oe-lal-austrian-airlines-airbus-a340-313;;AUA;12
OS004;OS;Austrian;BOE-737-600;Boeing 737-600;OE-LNL;AUA-2003-BLUEBELLY;;"""Kahlenberg""";;World of Wings;47,95;;;"andere Kennung; https://jjpostcards.com/de/ansichtskarten/19214-austrian-b737.html";0,85;https://www.planespotters.net/photo/209509/oe-lnl-austrian-airlines-boeing-737-6z9;;AUA;17
OS011;OS;Austrian;BOE-737-800-WL;Boeing 737-800 (Winglets);OE-LNT;AUA-2003-STARALLIANCE;AUA-2003-BLUEBELLY;"""Gerlitzen"" ""Star Alliance""";;MW-MOBA;44,5;5,5;;https://jjpostcards.com/de/ansichtskarten/13117-austrianstar-alliance-b737.html;1,35;https://www.planespotters.net/photo/245246/oe-lnt-austrian-airlines-boeing-737-8z9-wl;;AUA;20
OS018;OS;Austrian;BOE-767-300;Boeing 767-300;OE-LAW;AUA-2018-NEW;;"""China""";;MW-Moba;44,5;4,25;;https://jjpostcards.com/de/ansichtskarten/37600-Austrian-B767.html;0,85;https://www.jetphotos.com/photo/11688863;20.06.2025;AUA;21
